Rceipt;tangga;Net;Cust
ETNFAACFa008355;01/05/2024;13000;6B8A9A903A998
ETNFAACFa008384;01/05/2024;11000;6B85347AB34AA
ETNFAACFa008400;01/05/2024;33000;6B8BB6B007409
ETNFAACFa008407;01/05/2024;28000;6B8000008096
ETNFAACFa008413;01/05/2024;22000;6B83A43B60A45
ETNFAACFb008422;02/05/2024;11000;6B08BB7BBBAB00
ETNFAACFb008438;02/05/2024;11000;6B85A57883B63
ETNFAACFb008441;02/05/2024;24000;6B83A50B3A335
ETNFAACFb008483;02/05/2024;22000;6B8000005435
ETNFAACFc008494;03/05/2024;32000;6B8A346AB7574
ETNFAACFc008501;03/05/2024;13000;6B8AB4A7077B7
ETNFAACFc008510;03/05/2024;14000;6B8A35A3888A4
ETNFAACFc008523;03/05/2024;13000;6B8000009938
ETNFAACFc008540;03/05/2024;15000;6B85387B97B54
ETNFAACFc008560;03/05/2024;39000;6B8000003B09
ETNFAACFd008585;04/05/2024;30000;6B858B8546499
ETNFAACFd008611;04/05/2024;15000;6B8A8A8865348
ETNFAACFd008617;04/05/2024;26000;6B899B880470
ETNFAACFd008621;04/05/2024;23000;6B8AB500A08BA
ETNFAACFd008622;04/05/2024;12000;6B8789895B073
ETNFAACFd008632;04/05/2024;44000;6B800000A49A
ETNFAACFd008638;04/05/2024;13000;6B8000005A75
ETNFAACFe008657;05/05/2024;13000;6B8000003643
ETNFAACFe008662;05/05/2024;11000;6B8AA5005005
ETNFAACFe008690;05/05/2024;28000;6B8AB50844465
ETNFAACFe008711;05/05/2024;15000;6B800000A090
ETNFAACFe008721;05/05/2024;11000;6B85387B97B54
ETNFAACFe008731;05/05/2024;13000;6B8BA5A330B88
ETNFAACFf008745;06/05/2024;12000;6B857507835A8
ETNFAACFf008753;06/05/2024;44000;6B8AB5A008584
ETNFAACFf008765;06/05/2024;77000;6B8BB50A9634B
ETNFAACFf008797;06/05/2024;14000;6B838B730A0A4
ETNFAACFf008816;06/05/2024;41000;6B8AB53499B95
ETNFAACFf008819;06/05/2024;13000;6B87789846958
ETNFAACFf008826;06/05/2024;24000;6B85347AB34AA
ETNFAACFf008828;06/05/2024;40000;6B857057B90B4
ETNFAACFg008853;07/05/2024;13000;6B8A9A903A998
ETNFAACFg008866;07/05/2024;30000;6B8000005909
ETNFAACFg008877;07/05/2024;33000;6B859456487B9
ETNFAACFg008914;07/05/2024;24000;6B8A348905435
ETNFAACFh008923;08/05/2024;11000;6B85B5A573705
ETNFAACFh008926;08/05/2024;14000;6B8000004B4A
ETNFAACFh008940;08/05/2024;13000;6B859456487B9
ETNFAACFh008954;08/05/2024;13000;6B878B7684786
ETNFAACFh008969;08/05/2024;26000;6B85B48753634
ETNFAACFh008990;08/05/2024;13000;6B878A4553603
ETNFAACFh008995;08/05/2024;10000;6B8BB34303AA0
ETNFAACFi009007;09/05/2024;24000;6B8BBA3005A30
ETNFAACFi009009;09/05/2024;12000;6B8575A6B85A3
ETNFAACFi009011;09/05/2024;22000;6B8AA5005005
ETNFAACFi009013;09/05/2024;27000;6B838B730A0A4
ETNFAACFi009018;09/05/2024;16000;6B8A5BB706054
ETNFAACFi009074;09/05/2024;46000;6B85BBBBB570B
ETNFAACFi009082;09/05/2024;16000;6B85A75A9644A
ETNFAACFj009118;10/05/2024;31000;6B8000007300
ETNFAACFj009147;10/05/2024;27000;6B8BA54A0606B
ETNFAACFk009181;11/05/2024;12000;6B8BA553A79AB
ETNFAACFk009225;11/05/2024;26000;6B8A5B865A5A6
ETNFAACFk009242;11/05/2024;13000;6B800000763A
ETNFAACFl009254;12/05/2024;14000;6B85387B97B54
ETNFAACFl009255;12/05/2024;16000;6B83A5A043684
ETNFAACFl009256;12/05/2024;26000;6B8BB55470997
ETNFAACFl009267;12/05/2024;39000;6B8575A555887
ETNFAACFl009271;12/05/2024;14000;6B8BA5A457677
ETNFAACFl009282;12/05/2024;37000;6B8000000A69
ETNFAACFl009287;12/05/2024;11000;6B8BA55B74B30
ETNFAACFl009299;12/05/2024;41000;6B8000009788
ETNFAACFm009317;13/05/2024;30000;6B83A4B4B4933
ETNFAACFm009324;13/05/2024;15000;6B8A8A8865348
ETNFAACFm009339;13/05/2024;50000;6B8538764333B
ETNFAACFn009388;14/05/2024;12000;6B8BBA3005A30
ETNFAACFn009414;14/05/2024;14000;6B878A55848A7
ETNFAACFn009415;14/05/2024;11000;6B800000AB44
ETNFAACFn009421;14/05/2024;41000;6B85B495BB55A
ETNFAACFo009469;15/05/2024;26000;6B8BA540B9B90
ETNFAACFo009485;15/05/2024;12000;6B85A054396B9
ETNFAACFo009501;15/05/2024;15000;6B8000007357
ETNFAACFo009510;15/05/2024;14000;6B800000A78A
ETNFAACFo009538;15/05/2024;17000;6B8BB34303AA0
